name,Entry_point_address,Size_of_program_headers,Size_of_section_headers,Start_of_program_headers,Start_of_section_headers,size_text_section,total_size_file,total_size_memory,n_seg_diff_size_in_file_and_memory,n_p_type_header_as_int_type,total_p_flags,total_STT_NOTYPE_symbol,total_STT_FUNC_symbol,total_STT_OBJECT_symbol,n_sec_not_in_memory,total_global_symbols,total_local_symbols,total_weak_symbols,category
VirusShare_2ab6e981518e783f55ab6c7ea02aa12c,4194976,32,40,52,93732,73536,84016,109552,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2bab5b3cbc74730f45c6d090d5cf44db,4194708,56,64,64,67024,48760,64168,91664,1,0,17,5,0,0,0,0,0,0,1
VirusShare_01eb7c5906e7d67b922a9a3f6fc7818e,4194912,32,40,52,71304,63840,69028,69824,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2a77fa2955d34b144aba3893b4b57eb6,2147483972,32,40,52,49784,46618,49716,50420,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2a700f592742c9810961521fd0530d11,4194720,32,40,52,52404,49120,52332,53104,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1f0ba48d7a3e0867c91c19ec3d92d69d,65956,32,40,52,51892,49764,51824,52476,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e458d012d3a3fabfc64336eb81b4390,4194912,32,40,52,66924,62032,65208,65920,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1ef3e8e03eab3153cc48f530a54f3d0b,33108,32,40,52,58720,56364,58604,100924,1,0,18,3,0,0,0,0,0,0,1
VirusShare_2bcc85de2820243d6ed808ec564b054a,4628,32,40,52,37132,8656,16364,17132,1,0,31,4,0,0,0,87,3,6,1
VirusShare_1e927cc6deb8d7602cb8b090ea06e71f,2147483972,32,40,52,33860,32050,33790,34282,1,0,17,2,0,0,0,0,0,0,1
VirusShare_02b0c3d8cb354d4d59e89111430b8328,4194720,32,40,52,59244,47744,56404,81840,1,0,18,5,0,0,0,0,0,0,1
VirusShare_2a65ec7000306e7e412247b39e5ff252,4194708,56,64,64,146112,107688,143144,170640,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2aeeb2d90d4f5a86ce76ff9e02c32ec3,4194976,32,40,52,132176,101264,118372,143940,1,1,22,6,0,0,0,0,0,0,1
VirusShare_02b22447157b3fd4cbf5c58ea9827044,33108,32,40,52,71784,67244,71668,114308,1,0,18,3,0,0,0,0,0,0,1
VirusShare_01fce06225b1e12e863749723f115eec,4194912,32,40,52,68312,65008,68220,68812,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1f4efc054f807b7a6f574bd67da295ca,4194976,32,40,52,267644,173120,187448,196624,1,1,22,15,0,0,0,0,0,0,1
VirusShare_2a6a2927e438a9dcfd7b1cccba72cc8f,4194912,32,40,52,96104,84048,93284,94368,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2b77ff9fde96eddb812aa89e19129762,134512996,32,40,52,33152,28662,32288,33952,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1ea92e809611f6656595b7518f1d06b7,33172,32,40,52,114952,82628,90676,103532,2,0,26,15,0,0,0,0,0,0,1
